longitude,latitude,species_name,source,lon,lat
34.852971651,0.3422963091,Hypolimnas monteironis major,iNaturalist,34.852971651,0.3422963091
34.8949288307,0.2776818635,Euphaedra rex,iNaturalist,34.8949288307,0.2776818635
34.844195073,0.2782332686,Neptis metella,iNaturalist,34.844195073,0.2782332686
34.8270887899,0.3162921473,Charaxes smaragdalis,iNaturalist,34.8270887899,0.3162921473
34.9003096522,0.3227291106,Eurema desjardinsii regularis,iNaturalist,34.9003096522,0.3227291106
34.7575690597,-0.0680878178,Belenois,iNaturalist,34.7575690597,-0.0680878178
34.9151032589,0.2526115876,Papilio lormieri,iNaturalist,34.9151032589,0.2526115876
34.9352544902,0.2059710251,Cymothoe hobarti hobarti,iNaturalist,34.9352544902,0.2059710251
34.9919717009,0.3167597937,Papilio phorcas,iNaturalist,34.9919717009,0.3167597937
34.8255192427,0.3046733682,Telchinia peneleos peneleos,iNaturalist,34.8255192427,0.3046733682
34.8719917111,0.3196465876,Hypolimnas monteironis major,iNaturalist,34.8719917111,0.3196465876
34.9342031804,0.2333546077,Anthene,iNaturalist,34.9342031804,0.2333546077
34.8152780722,0.299654407,Telchinia semivitrea,iNaturalist,34.8152780722,0.299654407
35.2384619953,0.2271069476,Neptis saclava,iNaturalist,35.2384619953,0.2271069476
34.8561365086,0.3057489703,Evena crithea,iNaturalist,34.8561365086,0.3057489703
