longitude,latitude,species_name,source
34.8966633333,0.220675,Cymothoe herminia,iNaturalist
34.8920466667,0.2365216667,Papilio phorcas,iNaturalist
34.891975,0.2361116667,Junonia sophia,iNaturalist
34.8975916667,0.24068,Pseudacraea lucretia,iNaturalist
34.8955283333,0.2346033333,Telchinia lycoa,iNaturalist
34.897055,0.2350666667,Junonia gregorii,iNaturalist
34.89457,0.2346333333,Telchinia peneleos,iNaturalist
34.8925466667,0.2360333333,Junonia terea,iNaturalist
34.89327,0.2356666667,Vanessula milca,iNaturalist
34.9093065435,0.2234446622,Sevenia occidentalium,iNaturalist
34.9203383178,-0.1744385349,Zizeeriina,iNaturalist
34.9024472606,0.2226412834,Belenois calypso,iNaturalist
34.9083695781,0.2220404731,Belenois raffrayi,iNaturalist
34.9039063823,0.2222121332,Papilio interjectana,iNaturalist
34.9050221813,0.2221263031,Belenois calypso,iNaturalist
34.9014225762,0.2214225914,Cacyreus lingeus,iNaturalist
34.9071330501,0.2219371652,Vanessula milca,iNaturalist
34.9011380181,0.2227096356,Anthene definita,iNaturalist
34.8982372629,0.2240829162,Junonia temora,iNaturalist
34.8950106731,0.2239970861,Papilio phorcas,iNaturalist
34.893878996,0.2259711768,Papilio interjectana,iNaturalist
34.8855534192,0.2221946553,Euphaedra,iNaturalist
34.8855534192,0.2242545762,Acraeini,iNaturalist
34.8823776838,0.2218513352,Hesperiidae,iNaturalist
34.8833218213,0.2191906035,Papilio phorcas,iNaturalist
34.8792019483,0.2110367456,Acraea,iNaturalist
34.8796311017,0.2138691389,Cymothoe,iNaturalist
34.8794594403,0.2161865511,Amaura,iNaturalist
34.8760262128,0.2099209542,Telchinia lycoa,iNaturalist
34.8734830469,0.2052861274,Cymothoe lurida,iNaturalist
34.8742332017,0.2007371295,Amaura,iNaturalist
34.8822154557,0.2108650854,Protogoniomorpha parhassus,iNaturalist
34.8823424743,0.2055970043,Vanessula milca,iNaturalist
34.8771891789,0.2128067341,Junonia temora,iNaturalist
34.8820815282,0.2122059234,Evena crithea,iNaturalist
34.8823681634,0.2085480788,Cymothoe lurida,iNaturalist
34.882196502,0.2073464571,Bebearia cocalia,iNaturalist
34.8830548089,0.2111229822,Euphaedra,iNaturalist
34.8792491155,0.2083435685,Euphaedra,iNaturalist
34.8792422067,0.204137892,Aterica galene,iNaturalist
34.8803580056,0.2011191888,Junonia gregorii,iNaturalist
34.8836195718,0.2022915152,Leptosia alcesta,iNaturalist
34.8829329263,0.2074413236,Evena crithea,iNaturalist
34.8844778787,0.202919565,Euphaedra,iNaturalist
34.8865378152,0.2050339662,Protogoniomorpha parhassus,iNaturalist
34.8904110856,0.2058295626,Bicyclus safitza,iNaturalist
34.8892862941,0.2073877639,Junonia gregorii,iNaturalist
34.8999958868,0.2214981872,Papilio dardanus,iNaturalist
34.856474,0.29134,Celaenorrhinus larseni,iNaturalist
34.8536214,0.19996,Evena,iNaturalist
34.907068,0.1592104,Junonia gregorii,iNaturalist
34.8629,0.3533116667,Cymothoe herminia,iNaturalist
34.863,0.3533533333,Protogoniomorpha parhassus,iNaturalist
34.8630783333,0.353345,Lycaenidae,iNaturalist
34.8631033333,0.3533466667,Cacyreus lingeus,iNaturalist
34.8630783333,0.3533416667,Protogoniomorpha parhassus,iNaturalist
34.863055,0.3533333333,Junonia gregorii,iNaturalist
34.86435,0.3525383333,Vanessula milca,iNaturalist
34.8640216667,0.3529333333,Papilio lormieri,iNaturalist
34.864045,0.3529,Azanus natalensis,iNaturalist
34.8640416667,0.3529083333,Anthene ukerewensis,iNaturalist
34.8640416667,0.3529083333,Papilio nireus,iNaturalist
34.8639833333,0.3530333333,Hypolimnas monteironis,iNaturalist
34.8634533333,0.353405,Nymphalidae,iNaturalist
34.8630416667,0.3533033333,Hypolimnas dinarcha,iNaturalist
34.8621216667,0.353305,Papilio nireus,iNaturalist
34.863155,0.3533166667,Nymphalidae,iNaturalist
34.8603583333,0.3517716667,Euphaedra medon,iNaturalist
34.8655916667,0.349005,Protogoniomorpha parhassus,iNaturalist
34.862025,0.35297,Euxanthe wakefieldi,iNaturalist
34.9090834334,0.1595429504,Junonia gregorii,iNaturalist
34.8944444,0.2666667,Cymothoe hobarti,iNaturalist
34.8944444,0.2666667,Bebearina,iNaturalist
34.8944444,0.2666667,Euphaedra rex,iNaturalist
34.8944444,0.2666667,Junonia temora,iNaturalist
34.8944444,0.2666667,Acraeini,iNaturalist
34.8944444,0.2666667,Telchinia peneleos,iNaturalist
34.8944444,0.2666667,Phalanta eurytis,iNaturalist
34.8944444,0.2666667,Evena crithea,iNaturalist
34.8944444,0.2666667,Pseudathyma jacksoni,iNaturalist
34.8944444,0.2666667,Junonia gregorii,iNaturalist
34.8944444,0.2666667,Euryphura chalcis,iNaturalist
34.8944444,0.2666667,Hesperiidae,iNaturalist
34.8944444,0.2666667,Eagris decastigma,iNaturalist
34.8944444,0.2666667,Pardaleodes incerta,iNaturalist
34.8944444,0.2666667,Ceratrichia,iNaturalist
34.8944444,0.2666667,Protogoniomorpha parhassus,iNaturalist
34.8654283333,0.2397533333,Telchinia lycoa,iNaturalist
34.8944444,0.2666667,Charaxes cithaeron,iNaturalist
35.0108333,0.1108333,Stephenia,iNaturalist
35.0108333,0.1108333,Amauris echeria,iNaturalist
34.8944444,0.2666667,Bicyclus safitza,iNaturalist
34.8944444,0.2666667,Eriboea etesipe,iNaturalist
34.8672600905,0.2376638878,Protogoniomorpha parhassus,iNaturalist
34.8672600905,0.2376638878,Junonia gregorii,iNaturalist
34.8672600905,0.2376638878,Junonia terea,iNaturalist
34.8672600905,0.2376638878,Junonia sophia,iNaturalist
34.8672600905,0.2376638878,Eurytela dryope,iNaturalist
34.8672600905,0.2376638878,Sevenia,iNaturalist
34.8672600905,0.2376638878,Telchinia bonasia,iNaturalist
34.8672600905,0.2376638878,Telchinia semivitrea,iNaturalist
34.8672600905,0.2376638878,Hypolimnas anthedon,iNaturalist
34.8672600905,0.2376638878,Anthene definita,iNaturalist
34.8672600905,0.2376638878,Sevenia boisduvali,iNaturalist
34.8672600905,0.2376638878,Phalanta phalantha,iNaturalist
34.8672600905,0.2376638878,Pseudacraea lucretia,iNaturalist
34.8672600905,0.2376638878,Nepheronia argia,iNaturalist
34.856474,0.29134,Eicochrysops hippocrates,iNaturalist
34.8819588631,0.2244732162,Amauris hecate,iNaturalist
34.8807491623,0.2273860562,Nireopapilio,iNaturalist
34.885960868,0.2245473821,Charaxes,iNaturalist
34.8813725319,0.2265552274,Papilio phorcas,iNaturalist
34.884849604,0.2270058497,Junonia gregorii,iNaturalist
34.8845716907,0.2268300237,Aterica galene,iNaturalist
34.8845084,0.2269147,Cyrestis camillus,iNaturalist
34.8845081,0.2269149,Junonia gregorii,iNaturalist
34.88429333,0.22699676,Phalanta eurytis,iNaturalist
34.88427777,0.22709473,Anthene larydas,iNaturalist
34.9151032589,0.2526115876,Papilio lormieri,iNaturalist
34.9240132566,0.2121010791,Junonia chorimene,iNaturalist
34.8850201613,0.2266868736,Sevenia boisduvali,iNaturalist
34.8850201613,0.2266868736,Junonia sophia,iNaturalist
34.8832947118,0.2267104039,Telchinia lycoa,iNaturalist
34.8832947118,0.2267104039,Spalgis lemolea,iNaturalist
34.8832947118,0.2267104039,Belenois raffrayi,iNaturalist
34.8832947118,0.2267104039,Appias sabina,iNaturalist
34.8832947118,0.2267104039,Eurema floricola,iNaturalist
34.8832947118,0.2267104039,Uranothauma heritsia,iNaturalist
34.8832947118,0.2267104039,Anthene ligures,iNaturalist
34.8832947118,0.2267104039,Papilio interjectana,iNaturalist
34.8832947118,0.2267104039,Belenois sudanensis,iNaturalist
34.8832947118,0.2267104039,Libythea labdaca,iNaturalist
34.8832947118,0.2267104039,Acraeini,iNaturalist
34.8832947118,0.2267104039,Azanus natalensis,iNaturalist
34.8832947118,0.2267104039,Cyrestis camillus,iNaturalist
34.8832947118,0.2267104039,Papilio lormieri,iNaturalist
34.8832947118,0.2267104039,Telchinia penelope,iNaturalist
34.8832947118,0.2267104039,Junonia sophia,iNaturalist
34.8832947118,0.2267104039,Afriodinia neavei,iNaturalist
34.8954208254,0.2307626239,Cymothoe hobarti hobarti,iNaturalist
34.8832947118,0.2267104039,Catopsilia florella,iNaturalist
34.8954208254,0.2307626239,Telchinia penelope,iNaturalist
34.8954208254,0.2307626239,Anthene,iNaturalist
34.8954208254,0.2307626239,Euptera elabontas,iNaturalist
34.8954208254,0.2307626239,Rubraea cerasa,iNaturalist
34.8954208254,0.2307626239,Leptosia nupta,iNaturalist
34.8954208254,0.2307626239,Anthene ligures,iNaturalist
34.8954208254,0.2307626239,Pierinae,iNaturalist
34.8954208254,0.2307626239,Zizula hylax,iNaturalist
34.8954208254,0.2307626239,Hypolimnas misippus,iNaturalist
34.8954208254,0.2307626239,Evena crithea,iNaturalist
34.8954208254,0.2307626239,Bicyclus campina,iNaturalist
34.8954208254,0.2307626239,Phalanta phalantha,iNaturalist
34.8954208254,0.2307626239,Junonia gregorii,iNaturalist
34.8954208254,0.2307626239,Hesperiinae,iNaturalist
34.8954208254,0.2307626239,Cyrestis camillus,iNaturalist
34.8954208254,0.2307626239,Cymothoe magambae,iNaturalist
34.8954208254,0.2307626239,Pseudacraea eurytus,iNaturalist
34.8954208254,0.2307626239,Neptis agouale,iNaturalist
34.8719917111,0.3196465876,Hypolimnas monteironis major,iNaturalist
34.7444499317,-0.114993817,Charaxes candiope,iNaturalist
34.8618418749,0.3515889671,Charaxes brutus,iNaturalist
34.773201815,0.3067277733,Protogoniomorpha parhassus,iNaturalist
34.8844041582,0.227376719,Telchinia cinerea,iNaturalist
34.8842324968,0.227475622,Telchinia,iNaturalist
34.8548725247,0.2953539872,Evena crithea,iNaturalist
34.8548725247,0.2953539872,Hypolimnas misippus,iNaturalist
34.8797607422,0.2291792233,Telchinia cinerea,iNaturalist
34.7740793,0.307894,Belenois sudanensis,iNaturalist
34.7740793,0.307894,Amauris albimaculata,iNaturalist
34.7518631,0.2827307,Protogoniomorpha parhassus,iNaturalist
34.8747200665,0.2780720247,Cymothoe lurida,iNaturalist
34.884522,0.227082,Telchinia cinerea,iNaturalist
34.8744814646,0.2283955574,Amauris echeria,iNaturalist
35.2245066667,0.1031716667,Eretis,iNaturalist
35.2243716667,0.1030383333,Junonia sophia,iNaturalist
35.2241116667,0.1026533333,Colias electo,iNaturalist
35.2235333333,0.10294,Telchinia lycoa,iNaturalist
35.2235333333,0.10294,Vanessa dimorphica dimorphica,iNaturalist
35.2238866667,0.102655,Junonia sophia,iNaturalist
35.2234466667,0.1027483333,Telchinia uvui,iNaturalist
35.2237816667,0.102635,Junonia sophia,iNaturalist
35.2237816667,0.102635,Zizula hylax,iNaturalist
35.2237816667,0.102635,Telchinia uvui,iNaturalist
35.2237816667,0.102635,Zenonia zeno,iNaturalist
34.8921873103,0.2215399504,Protogoniomorpha parhassus,iNaturalist
34.8888178648,0.2228979871,Papilio phorcas,iNaturalist
34.8844784073,0.2267823728,Protogoniomorpha parhassus,iNaturalist
34.8844784073,0.2267823728,Euriphene ribensis,iNaturalist
34.8844784073,0.2267823728,Hypolimnas monteironis,iNaturalist
34.8844784073,0.2267823728,Papilio dardanus,iNaturalist
