longitude,latitude,species_name,common_name
34.8862570524,0.2325507327,Hypolimnas monteironis,Scarce Blue Diadem
34.7740793,0.307894,Junonia gregorii,Gregori’s Brown Pansy
34.9336431439,0.280972934,Amauris,Clerics
34.8819583278,0.3612865929,Cymothoe,typical gliders
34.873851903,0.3093737705,Cymothoe,typical gliders
34.833615526,0.3552142163,Tagiadinae,Flat Skippers and Allies
34.6778320563,0.3359385452,Junonia gregorii,Gregori’s Brown Pansy
34.9236245284,0.2125003347,Hypolimnas monteironis major,
34.9236245284,0.2125003347,Amauris albimaculata,Layman
34.896345,0.2199616667,Euphaedra,
34.881255,0.20478,Acraeini,"Acraeas, Actinotes, and Allies"
34.8968916667,0.2214533333,Nymphalidae,Brush-footed Butterflies
34.8966633333,0.220675,Cymothoe herminia,Herminia Glider
34.8920466667,0.2365216667,Papilio phorcas,Apple-green Swallowtail
34.891975,0.2361116667,Junonia sophia,Little Pansy
34.8975916667,0.24068,Pseudacraea lucretia,False Chief
34.8955283333,0.2346033333,Telchinia lycoa,Lycoa Acraea
34.897055,0.2350666667,Junonia gregorii,Gregori’s Brown Pansy
34.89457,0.2346333333,Telchinia peneleos,Peneleos Acraea
34.8925466667,0.2360333333,Junonia terea,Soldier Commodore
34.89327,0.2356666667,Vanessula milca,Lady's Maid Butterfly
34.9093065435,0.2234446622,Sevenia occidentalium,Velvet Tree Nymph
34.9203383178,-0.1744385349,Zizeeriina,
34.9024472606,0.2226412834,Belenois calypso,Calypso White
34.9083695781,0.2220404731,Belenois raffrayi,Raffray’s White
34.9039063823,0.2222121332,Papilio interjectana,Van Someren’s Green-banded Swallowtail
34.9050221813,0.2221263031,Belenois calypso,Calypso White
34.9014225762,0.2214225914,Cacyreus lingeus,Bush Bronze
34.9071330501,0.2219371652,Vanessula milca,Lady's Maid Butterfly
34.9011380181,0.2227096356,Anthene definita,Common Ciliate Blue
34.8982372629,0.2240829162,Junonia temora,Eastern Blue Mother-of-Pearl
34.8950106731,0.2239970861,Papilio phorcas,Apple-green Swallowtail
34.893878996,0.2259711768,Papilio interjectana,Van Someren’s Green-banded Swallowtail
34.8855534192,0.2221946553,Euphaedra,
34.8855534192,0.2242545762,Acraeini,"Acraeas, Actinotes, and Allies"
34.8823776838,0.2218513352,Hesperiidae,Skippers
34.8833218213,0.2191906035,Papilio phorcas,Apple-green Swallowtail
34.8792019483,0.2110367456,Acraea,Acraeas
34.8796311017,0.2138691389,Cymothoe,typical gliders
34.8794594403,0.2161865511,Amaura,
34.8760262128,0.2099209542,Telchinia lycoa,Lycoa Acraea
34.8734830469,0.2052861274,Cymothoe lurida,Lurid Glider
34.8742332017,0.2007371295,Amaura,
34.8822154557,0.2108650854,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8823424743,0.2055970043,Vanessula milca,Lady's Maid Butterfly
34.8771891789,0.2128067341,Junonia temora,Eastern Blue Mother-of-Pearl
34.8820815282,0.2122059234,Evena crithea,Common Pathfinder
34.8823681634,0.2085480788,Cymothoe lurida,Lurid Glider
34.882196502,0.2073464571,Bebearia cocalia,Common Palm Forester
34.8830548089,0.2111229822,Euphaedra,
34.8792491155,0.2083435685,Euphaedra,
34.8792422067,0.204137892,Aterica galene,Forest Glade Nymph
34.8803580056,0.2011191888,Junonia gregorii,Gregori’s Brown Pansy
34.8836195718,0.2022915152,Leptosia alcesta,African Wood White
34.8829329263,0.2074413236,Evena crithea,Common Pathfinder
34.8844778787,0.202919565,Euphaedra,
34.8865378152,0.2050339662,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8904110856,0.2058295626,Bicyclus safitza,Common Bush Brown
34.8892862941,0.2073877639,Junonia gregorii,Gregori’s Brown Pansy
34.8999958868,0.2214981872,Papilio dardanus,Mocker Swallowtail
34.856474,0.29134,Celaenorrhinus larseni,Larsen’s Sprite
34.8536214,0.19996,Evena,Pathfinders
34.907068,0.1592104,Junonia gregorii,Gregori’s Brown Pansy
34.8629,0.3533116667,Cymothoe herminia,Herminia Glider
34.863,0.3533533333,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8630783333,0.353345,Lycaenidae,Gossamer-winged Butterflies
34.8631033333,0.3533466667,Cacyreus lingeus,Bush Bronze
34.8630783333,0.3533416667,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.863055,0.3533333333,Junonia gregorii,Gregori’s Brown Pansy
34.86435,0.3525383333,Vanessula milca,Lady's Maid Butterfly
34.8640216667,0.3529333333,Papilio lormieri,Central Emperor Swallowtail
34.864045,0.3529,Azanus natalensis,Natal Babul Blue
34.8640416667,0.3529083333,Anthene ukerewensis,
34.8640416667,0.3529083333,Papilio nireus,Narrow Green-banded Swallowtail
34.8639833333,0.3530333333,Hypolimnas monteironis,Scarce Blue Diadem
34.8634533333,0.353405,Nymphalidae,Brush-footed Butterflies
34.8630416667,0.3533033333,Hypolimnas dinarcha,Large Variable Diadem
34.8621216667,0.353305,Papilio nireus,Narrow Green-banded Swallowtail
34.863155,0.3533166667,Nymphalidae,Brush-footed Butterflies
34.8603583333,0.3517716667,Euphaedra medon,Widespread Forester
34.8655916667,0.349005,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.862025,0.35297,Euxanthe wakefieldi,Forest Queen
34.9090834334,0.1595429504,Junonia gregorii,Gregori’s Brown Pansy
34.8944444,0.2666667,Cymothoe hobarti,Hobart's Red Glider
34.8944444,0.2666667,Bebearina,
34.8944444,0.2666667,Euphaedra rex,
34.8944444,0.2666667,Junonia temora,Eastern Blue Mother-of-Pearl
34.8944444,0.2666667,Acraeini,"Acraeas, Actinotes, and Allies"
34.8944444,0.2666667,Telchinia peneleos,Peneleos Acraea
34.8944444,0.2666667,Phalanta eurytis,Forest Leopard
34.8944444,0.2666667,Evena crithea,Common Pathfinder
34.8944444,0.2666667,Pseudathyma jacksoni,
34.8944444,0.2666667,Junonia gregorii,Gregori’s Brown Pansy
34.8944444,0.2666667,Euryphura chalcis,Common Commander
34.8944444,0.2666667,Bebearina,
34.8944444,0.2666667,Hesperiidae,Skippers
34.8944444,0.2666667,Eagris decastigma,Purple Flat
34.8944444,0.2666667,Pardaleodes incerta,Savanna Pathfinder
34.8944444,0.2666667,Ceratrichia,Forest Sylphs
34.8944444,0.2666667,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8654283333,0.2397533333,Telchinia lycoa,Lycoa Acraea
34.8944444,0.2666667,Charaxes cithaeron,Blue-spotted Charaxes
35.0108333,0.1108333,Stephenia,
35.0108333,0.1108333,Amauris echeria,Chief
34.8944444,0.2666667,Bicyclus safitza,Common Bush Brown
34.8944444,0.2666667,Charaxes cithaeron,Blue-spotted Charaxes
34.8944444,0.2666667,Eriboea etesipe,Savannah Charaxes
34.8672600905,0.2376638878,Protogoniomorpha parhassus,Common Mother-of-Pearl
34.8672600905,0.2376638878,Junonia gregorii,Gregori’s Brown Pansy
34.8672600905,0.2376638878,Junonia gregorii,Gregori’s Brown Pansy
34.8672600905,0.2376638878,Junonia terea,Soldier Commodore
34.8672600905,0.2376638878,Junonia sophia,Little Pansy
34.8672600905,0.2376638878,Eurytela dryope,
34.8672600905,0.2376638878,Sevenia,Tree nymphs
34.8672600905,0.2376638878,Telchinia bonasia,Orange-streak Acraea
34.8672600905,0.2376638878,Junonia sophia,Little Pansy
34.8672600905,0.2376638878,Telchinia semivitrea,Glassy Acraea
34.8672600905,0.2376638878,Eurytela dryope,
34.8672600905,0.2376638878,Hypolimnas anthedon,Variable Diadem
34.8672600905,0.2376638878,Eurytela dryope,
34.8672600905,0.2376638878,Anthene definita,Common Ciliate Blue
34.8672600905,0.2376638878,Junonia gregorii,Gregori’s Brown Pansy
34.8672600905,0.2376638878,Sevenia boisduvali,Boisduval's Tree Nymph
34.8672600905,0.2376638878,Phalanta phalantha,Common Leopard
34.8672600905,0.2376638878,Pseudacraea lucretia,False Chief
34.8672600905,0.2376638878,Nepheronia argia,Large Vagrant
34.856474,0.29134,Eicochrysops hippocrates,White-tipped Ash Blue
34.8819588631,0.2244732162,Amauris hecate,Scarce Monk
34.8807491623,0.2273860562,Nireopapilio,
34.885960868,0.2245473821,Charaxes,Emperor Butterflies
34.8813725319,0.2265552274,Papilio phorcas,Apple-green Swallowtail
34.884849604,0.2270058497,Junonia gregorii,Gregori’s Brown Pansy
34.8845716907,0.2268300237,Aterica galene,Forest Glade Nymph
34.8845084,0.2269147,Cyrestis camillus,African Map Butterfly
34.8845081,0.2269149,Junonia gregorii,Gregori’s Brown Pansy
34.88429333,0.22699676,Phalanta eurytis,Forest Leopard
34.88427777,0.22709473,Anthene larydas,Forest Hairtail
34.9151032589,0.2526115876,Papilio lormieri,Central Emperor Swallowtail
34.9240132566,0.2121010791,Junonia chorimene,Golden Pansy
34.8850201613,0.2266868736,Sevenia boisduvali,Boisduval's Tree Nymph
34.8850201613,0.2266868736,Junonia sophia,Little Pansy
34.8850201613,0.2266868736,Junonia sophia,Little Pansy
34.8850201613,0.2266868736,Sevenia boisduvali,Boisduval's Tree Nymph
34.8832947118,0.2267104039,Telchinia lycoa,Lycoa Acraea
34.8832947118,0.2267104039,Spalgis lemolea,Lemolea Harvester
34.8832947118,0.2267104039,Belenois raffrayi,Raffray’s White
34.8832947118,0.2267104039,Appias sabina,Sabine Albatross
34.8832947118,0.2267104039,Eurema floricola,Malagasy Grass Yellow
34.8832947118,0.2267104039,Uranothauma heritsia,
34.8832947118,0.2267104039,Anthene ligures,lesser indigo ciliate blue
34.8832947118,0.2267104039,Papilio interjectana,Van Someren’s Green-banded Swallowtail
34.8832947118,0.2267104039,Belenois sudanensis,Sudan caper white
34.8832947118,0.2267104039,Papilio interjectana,Van Someren’s Green-banded Swallowtail
34.8832947118,0.2267104039,Libythea labdaca,Northern African Snout
34.8832947118,0.2267104039,Acraeini,"Acraeas, Actinotes, and Allies"
34.8832947118,0.2267104039,Azanus natalensis,Natal Babul Blue
34.8832947118,0.2267104039,Cyrestis camillus,African Map Butterfly
34.8832947118,0.2267104039,Cyrestis camillus,African Map Butterfly
34.8832947118,0.2267104039,Papilio lormieri,Central Emperor Swallowtail
34.8832947118,0.2267104039,Telchinia penelope,Penelope Acraea
34.8832947118,0.2267104039,Anthene ligures,lesser indigo ciliate blue
34.8832947118,0.2267104039,Junonia sophia,Little Pansy
34.8832947118,0.2267104039,Afriodinia neavei,Neave's Banded Judy
34.8954208254,0.2307626239,Cymothoe hobarti hobarti,
34.8832947118,0.2267104039,Catopsilia florella,African Migrant
34.8954208254,0.2307626239,Telchinia penelope,Penelope Acraea
34.8954208254,0.2307626239,Anthene,
34.8954208254,0.2307626239,Euptera elabontas,
34.8954208254,0.2307626239,Rubraea cerasa,Tree-top acraea
34.8954208254,0.2307626239,Leptosia nupta,Immaculate Wood White
34.8954208254,0.2307626239,Anthene ligures,lesser indigo ciliate blue
34.8954208254,0.2307626239,Pierinae,Whites
34.8954208254,0.2307626239,Leptosia nupta,Immaculate Wood White
34.8954208254,0.2307626239,Zizula hylax,Tiny Grass Blue
34.8954208254,0.2307626239,Anthene,
34.8954208254,0.2307626239,Hypolimnas misippus,Danaid Eggfly
34.8954208254,0.2307626239,Euptera elabontas,
34.8954208254,0.2307626239,Evena crithea,Common Pathfinder
34.8954208254,0.2307626239,Bicyclus campina,Chirinda Bush Brown
34.8954208254,0.2307626239,Anthene,
34.8954208254,0.2307626239,Phalanta phalantha,Common Leopard
34.8954208254,0.2307626239,Junonia gregorii,Gregori’s Brown Pansy
34.8954208254,0.2307626239,Euptera elabontas,
34.8954208254,0.2307626239,Hesperiinae,Grass Skippers
34.8954208254,0.2307626239,Cyrestis camillus,African Map Butterfly
34.8954208254,0.2307626239,Evena crithea,Common Pathfinder
34.8954208254,0.2307626239,Cymothoe magambae,
34.8954208254,0.2307626239,Pseudacraea eurytus,False Wanderer
34.8954208254,0.2307626239,Neptis agouale,common club-dot sailer
34.8954208254,0.2307626239,Junonia gregorii,Gregori’s Brown Pansy
